"Plot Title: A08_RH"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 20547360, SEN S/N: 20547360, LBL: Temp)","RH, % (LGR S/N: 20547360, SEN S/N: 20547360, LBL: RH)","Coupler Detached (LGR S/N: 20547360)","Coupler Attached (LGR S/N: 20547360)","Host Connected (LGR S/N: 20547360)","End Of File (LGR S/N: 20547360)"
1,03/26/19 17:00:00,19.318,21.362,Logged,,,,Details
2,03/26/19 17:30:00,20.436,19.891,,,,,Series: Temp, °C (Temp)
3,03/26/19 18:00:00,19.674,21.214,,,,,Devices
4,03/26/19 18:30:00,18.129,26.187,,,,,Device Info
5,03/26/19 19:00:00,16.749,29.412,,,,,Product: HOBO U23-001 Temp/RH
6,03/26/19 19:30:00,15.652,32.249,,,,,Serial Number: 20547360
7,03/26/19 20:00:00,14.290,35.731,,,,,Version Number: 1.10
8,03/26/19 20:30:00,13.497,37.933,,,,,Manufacturer: Onset Computer Corporation
9,03/26/19 21:00:00,12.799,39.453,,,,,Device Memory: 65536
10,03/26/19 21:30:00,12.098,39.631,,,,,Header Created: 02/06/14 09:55:29 AM GMT-06:00
11,03/26/19 22:00:00,11.832,42.346,,,,,Deployment Info
12,03/26/19 22:30:00,11.613,43.949,,,,,Full Series Name: Temperature, °C
13,03/26/19 23:00:00,10.467,48.996,,,,,Sensor Label: Temp
14,03/26/19 23:30:00,9.928,49.657,,,,,Launch Name: A08_RH
15,03/27/19 00:00:00,10.687,45.732,,,,,Deployment Number: 1
16,03/27/19 00:30:00,10.932,46.227,,,,,Launch Time: 03/26/19 08:16:11 AM GMT-06:00
17,03/27/19 01:00:00,10.247,48.171,,,,,Logging Interval: 00 Hr 30 Min 00 Sec
18,03/27/19 01:30:00,9.952,48.866,,,,,Launch GMT Offset: -6 Hr 0 Min
19,03/27/19 02:00:00,9.139,52.846,,,,,Battery at Launch: 3.57 Volts
20,03/27/19 02:30:00,9.336,51.940,,,,,Launching Program: HOBOware -3.7.16_1108_1030_Windows
21,03/27/19 03:00:00,9.460,51.686,,,,,Series Statistics
22,03/27/19 03:30:00,9.977,49.602,,,,,Samples: 18,564
23,03/27/19 04:00:00,9.089,54.637,,,,,Max: 40.631
24,03/27/19 04:30:00,8.767,54.738,,,,,Min: -14.236
25,03/27/19 05:00:00,8.519,56.602,,,,,Avg: 13.157
26,03/27/19 05:30:00,8.866,52.866,,,,,Std Dev (σ): 11.777
27,03/27/19 06:00:00,8.519,53.086,,,,,First Sample Time: 03/26/19 05:00:00 PM GMT-06:00
28,03/27/19 06:30:00,8.020,55.873,,,,,Last Sample Time: 04/16/20 10:30:00 AM GMT-06:00
29,03/27/19 07:00:00,7.569,58.514,,,,,Series: RH, % (RH)
30,03/27/19 07:30:00,6.864,61.368,,,,,Devices
31,03/27/19 08:00:00,7.494,60.836,,,,,Device Info
32,03/27/19 08:30:00,8.767,57.587,,,,,Product: HOBO U23-001 Temp/RH
33,03/27/19 09:00:00,10.565,50.749,,,,,Serial Number: 20547360
34,03/27/19 09:30:00,12.364,44.540,,,,,Version Number: 1.10
35,03/27/19 10:00:00,13.810,37.901,,,,,Manufacturer: Onset Computer Corporation
36,03/27/19 10:30:00,15.676,33.755,,,,,Device Memory: 65536
37,03/27/19 11:00:00,16.915,31.606,,,,,Header Created: 02/06/14 09:55:29 AM GMT-06:00
38,03/27/19 11:30:00,18.699,26.767,,,,,Deployment Info
39,03/27/19 12:00:00,19.888,23.476,,,,,Full Series Name: Relative Humidity (Depends on Temp Channel 1), %
40,03/27/19 12:30:00,21.366,19.119,,,,,Sensor Label: RH
41,03/27/19 13:00:00,21.581,16.985,,,,,Launch Name: A08_RH
42,03/27/19 13:30:00,20.722,16.524,,,,,Deployment Number: 1
43,03/27/19 14:00:00,20.650,16.797,,,,,Launch Time: 03/26/19 08:16:11 AM GMT-06:00
44,03/27/19 14:30:00,20.817,16.459,,,,,Logging Interval: 00 Hr 30 Min 00 Sec
45,03/27/19 15:00:00,21.223,17.036,,,,,Launch GMT Offset: -6 Hr 0 Min
46,03/27/19 15:30:00,21.342,16.313,,,,,Battery at Launch: 3.57 Volts
47,03/27/19 16:00:00,20.936,16.743,,,,,Launching Program: HOBOware -3.7.16_1108_1030_Windows
48,03/27/19 16:30:00,20.650,17.282,,,,,Series Statistics
49,03/27/19 17:00:00,20.150,13.224,,,,,Samples: 18,564
50,03/27/19 17:30:00,19.793,15.644,,,,,Max: 100.000
51,03/27/19 18:00:00,19.175,13.320,,,,,Min: 2.335
52,03/27/19 18:30:00,18.699,15.174,,,,,Avg: 41.151
53,03/27/19 19:00:00,18.033,17.486,,,,,Std Dev (σ): 26.732
54,03/27/19 19:30:00,17.748,18.773,,,,,First Sample Time: 03/26/19 05:00:00 PM GMT-06:00
55,03/27/19 20:00:00,16.773,20.556,,,,,Last Sample Time: 04/16/20 10:30:00 AM GMT-06:00
56,03/27/19 20:30:00,15.843,22.527,,,,,Event Type: Coupler Detached
57,03/27/19 21:00:00,15.247,23.965,,,,,Devices
58,03/27/19 21:30:00,14.792,25.537,,,,,Device Info
59,03/27/19 22:00:00,14.122,25.886,,,,,Product: HOBO U23-001 Temp/RH
60,03/27/19 22:30:00,12.727,29.767,,,,,Serial Number: 20547360
61,03/27/19 23:00:00,12.292,31.036,,,,,Version Number: 1.10
62,03/27/19 23:30:00,12.558,30.014,,,,,Manufacturer: Onset Computer Corporation
63,03/28/19 00:00:00,12.678,30.808,,,,,Device Memory: 65536
64,03/28/19 00:30:00,12.074,32.186,,,,,Header Created: 02/06/14 09:55:29 AM GMT-06:00
65,03/28/19 01:00:00,11.419,35.479,,,,,Deployment Info
66,03/28/19 01:30:00,11.321,34.827,,,,,Full Series Name: Coupler Detached
67,03/28/19 02:00:00,11.321,34.538,,,,,Launch Name: A08_RH
68,03/28/19 02:30:00,10.590,36.897,,,,,Deployment Number: 1
69,03/28/19 03:00:00,10.687,36.780,,,,,Launch Time: 03/26/19 08:16:11 AM GMT-06:00
70,03/28/19 03:30:00,10.834,37.241,,,,,Launch GMT Offset: -6 Hr 0 Min
71,03/28/19 04:00:00,10.467,37.139,,,,,Battery at Launch: 3.57 Volts
72,03/28/19 04:30:00,9.952,38.385,,,,,Series Statistics
73,03/28/19 05:00:00,9.854,37.393,,,,,Samples: 3
74,03/28/19 05:30:00,10.075,36.526,,,,,First Sample Time: 03/26/19 05:00:00 PM GMT-06:00
75,03/28/19 06:00:00,10.687,34.027,,,,,Last Sample Time: 05/16/19 11:31:26 AM GMT-06:00
76,03/28/19 06:30:00,10.810,32.427,,,,,Event Type: Coupler Attached
77,03/28/19 07:00:00,10.198,34.237,,,,,Devices
78,03/28/19 07:30:00,10.834,30.453,,,,,Device Info
79,03/28/19 08:00:00,11.516,30.284,,,,,Product: HOBO U23-001 Temp/RH
80,03/28/19 08:30:00,12.340,28.784,,,,,Serial Number: 20547360
81,03/28/19 09:00:00,14.122,25.587,,,,,Version Number: 1.10
82,03/28/19 09:30:00,14.050,27.042,,,,,Manufacturer: Onset Computer Corporation
83,03/28/19 10:00:00,15.127,23.722,,,,,Device Memory: 65536
84,03/28/19 10:30:00,16.534,19.998,,,,,Header Created: 02/06/14 09:55:29 AM GMT-06:00
85,03/28/19 11:00:00,17.486,17.456,,,,,Deployment Info
86,03/28/19 11:30:00,17.867,16.582,,,,,Full Series Name: Coupler Attached
87,03/28/19 12:00:00,18.794,14.832,,,,,Launch Name: A08_RH
88,03/28/19 12:30:00,19.746,13.101,,,,,Deployment Number: 1
89,03/28/19 13:00:00,20.103,13.327,,,,,Launch Time: 03/26/19 08:16:11 AM GMT-06:00
90,03/28/19 13:30:00,20.722,12.409,,,,,Launch GMT Offset: -6 Hr 0 Min
91,03/28/19 14:00:00,21.079,12.704,,,,,Battery at Launch: 3.57 Volts
92,03/28/19 14:30:00,21.294,11.871,,,,,Series Statistics
93,03/28/19 15:00:00,20.388,11.518,,,,,Samples: 3
