Plot Title: A03_RH,,,,,,,,,
#,"Date Time, GMT-06:00","Temp, °C (LGR S/N: 20547370, SEN S/N: 20547370, LBL: Temp)","RH, % (LGR S/N: 20547370, SEN S/N: 20547370, LBL: RH)",Coupler Detached (LGR S/N: 20547370),Coupler Attached (LGR S/N: 20547370),Host Connected (LGR S/N: 20547370),End Of File (LGR S/N: 20547370),,
72,03/28/19 04:30:00,4.844,56.999,,,,,Series Statistics,
73,03/28/19 05:00:00,5.076,56.421,,,,,Samples: 4,
74,03/28/19 05:30:00,5.385,55.588,,,,,First Sample Time: 03/26/19 05:00:00 PM GMT-06:00,
75,03/28/19 06:00:00,5.154,57.164,,,,,Last Sample Time: 04/16/20 03:07:37 PM GMT-06:00,
76,03/28/19 06:30:00,6.864,48.878,,,,,Event Type: Coupler Attached,
77,03/28/19 07:00:00,7.015,48.443,,,,,Devices,
78,03/28/19 07:30:00,4.61,58.359,,,,,Device Info,
79,03/28/19 08:00:00,6.102,58.512,,,,,Product: HOBO U23-001 Temp/RH,
80,03/28/19 08:30:00,9.558,44.198,,,,,Serial Number: 20547370,
81,03/28/19 09:00:00,12.775,31.078,,,,,Version Number: 1.10,
82,03/28/19 09:30:00,13.882,28.318,,,,,Manufacturer: Onset Computer Corporation,
83,03/28/19 10:00:00,15.533,24.923,,,,,Device Memory: 65536,
84,03/28/19 10:30:00,17.201,21.296,,,,,Header Created: 02/06/14 09:55:29 AM GMT-06:00,
85,03/28/19 11:00:00,18.509,18.817,,,,,Deployment Info,
86,03/28/19 11:30:00,18.961,17.88,,,,,Full Series Name: Coupler Attached,
87,03/28/19 12:00:00,19.651,15.637,,,,,Launch Name: A03_RH,
88,03/28/19 12:30:00,20.246,14.554,,,,,Deployment Number: 1,
89,03/28/19 13:00:00,21.032,13.613,,,,,Launch Time: 03/26/19 08:15:04 AM GMT-06:00,
90,03/28/19 13:30:00,20.889,13.676,,,,,Launch GMT Offset: -6 Hr 0 Min,
91,03/28/19 14:00:00,21.318,13.276,,,,,Battery at Launch: 3.55 Volts,
92,03/28/19 14:30:00,22.417,12.797,,,,,Series Statistics,
93,03/28/19 15:00:00,21.724,12.732,,,,,Samples: 4,
94,03/28/19 15:30:00,21.199,13.41,,,,,First Sample Time: 05/21/19 01:25:48 PM GMT-06:00,
95,03/28/19 16:00:00,19.08,13.525,,,,,Last Sample Time: 04/16/20 03:07:40 PM GMT-06:00,
96,03/28/19 16:30:00,19.27,13.673,,,,,Event Type: Host Connected,
97,03/28/19 17:00:00,18.675,14.271,,,,,Devices,
98,03/28/19 17:30:00,17.796,14.576,,,,,Device Info,
99,03/28/19 18:00:00,18.176,13.519,,,,,Product: HOBO U23-001 Temp/RH,
100,03/28/19 18:30:00,18.2,12.824,,,,,Serial Number: 20547370,
101,03/28/19 19:00:00,18.985,12.823,,,,,Version Number: 1.10,
102,03/28/19 19:30:00,16.606,15.347,,,,,Manufacturer: Onset Computer Corporation,
103,03/28/19 20:00:00,13.834,18.344,,,,,Device Memory: 65536,
104,03/28/19 20:30:00,11.662,21.714,,,,,Header Created: 02/06/14 09:55:29 AM GMT-06:00,
105,03/28/19 21:00:00,13.064,19.518,,,,,Deployment Info,
106,03/28/19 21:30:00,13.738,19.321,,,,,Full Series Name: Host Connected,
107,03/28/19 22:00:00,13.329,20.478,,,,,Launch Name: A03_RH,
108,03/28/19 22:30:00,11.516,23.637,,,,,Deployment Number: 1,
109,03/28/19 23:00:00,10.712,24.905,,,,,Launch Time: 03/26/19 08:15:04 AM GMT-06:00,
110,03/28/19 23:30:00,11.102,21.41,,,,,Launch GMT Offset: -6 Hr 0 Min,
111,03/29/19 00:00:00,9.829,21.527,,,,,Battery at Launch: 3.55 Volts,
112,03/29/19 00:30:00,10.712,18.839,,,,,Series Statistics,
113,03/29/19 01:00:00,10.98,18.181,,,,,Samples: 2,
114,03/29/19 01:30:00,10.051,18.397,,,,,First Sample Time: 05/21/19 01:25:54 PM GMT-06:00,
115,03/29/19 02:00:00,8.866,21.664,,,,,Last Sample Time: 04/16/20 03:07:49 PM GMT-06:00,
116,03/29/19 02:30:00,9.312,23.483,,,,,Event Type: End Of File,
117,03/29/19 03:00:00,8.319,39.029,,,,,Devices,
118,03/29/19 03:30:00,7.066,43.772,,,,,Device Info,
119,03/29/19 04:00:00,6.864,44.547,,,,,Product: HOBO U23-001 Temp/RH,
120,03/29/19 04:30:00,6.408,45.716,,,,,Serial Number: 20547370,
121,03/29/19 05:00:00,6.306,46.313,,,,,Version Number: 1.10,
122,03/29/19 05:30:00,6.306,44.846,,,,,Manufacturer: Onset Computer Corporation,
123,03/29/19 06:00:00,5.847,46.498,,,,,Device Memory: 65536,
124,03/29/19 06:30:00,5.898,44.642,,,,,Header Created: 02/06/14 09:55:29 AM GMT-06:00,
125,03/29/19 07:00:00,6.051,41.303,,,,,Deployment Info,
126,03/29/19 07:30:00,5.872,42.148,,,,,Full Series Name: End Of File,
127,03/29/19 08:00:00,6,42.873,,,,,Launch Name: A03_RH,
128,03/29/19 08:30:00,6.535,43.153,,,,,Deployment Number: 1,
129,03/29/19 09:00:00,6.99,39.479,,,,,Launch Time: 03/26/19 08:15:04 AM GMT-06:00,
130,03/29/19 09:30:00,7.419,39.902,,,,,Launch GMT Offset: -6 Hr 0 Min,
131,03/29/19 10:00:00,7.368,37.701,,,,,Battery at Launch: 3.55 Volts,
132,03/29/19 10:30:00,9.903,31.44,,,,,Series Statistics,
133,03/29/19 11:00:00,10.663,29.755,,,,,Samples: 1,
134,03/29/19 11:30:00,11.662,29.186,,,,,First Sample Time: 04/16/20 03:07:49 PM GMT-06:00,
135,03/29/19 12:00:00,12.727,27.302,,,,,Last Sample Time: 04/16/20 03:07:49 PM GMT-06:00,
136,03/29/19 12:30:00,12.678,25.148,,,,,,
137,03/29/19 13:00:00,13.112,22.211,,,,,,
138,03/29/19 13:30:00,13.305,21.653,,,,,,
139,03/29/19 14:00:00,13.786,21.987,,,,,,
140,03/29/19 14:30:00,13.546,19.682,,,,,,
141,03/29/19 15:00:00,13.93,17.466,,,,,,
142,03/29/19 15:30:00,13.954,17.808,,,,,,
143,03/29/19 16:00:00,13.93,19.569,,,,,,
144,03/29/19 16:30:00,13.714,18.947,,,,,,
145,03/29/19 17:00:00,13.353,17.944,,,,,,
146,03/29/19 17:30:00,12.534,21.234,,,,,,
147,03/29/19 18:00:00,12.122,21.476,,,,,,
148,03/29/19 18:30:00,11.248,20.951,,,,,,
149,03/29/19 19:00:00,9.879,24.811,,,,,,
150,03/29/19 19:30:00,8.419,27.681,,,,,,
151,03/29/19 20:00:00,6.611,32.969,,,,,,
152,03/29/19 20:30:00,5.642,34.97,,,,,,
153,03/29/19 21:00:00,4.973,47.264,,,,,,
154,03/29/19 21:30:00,4.454,50.412,,,,,,
155,03/29/19 22:00:00,6.331,46.682,,,,,,
156,03/29/19 22:30:00,5.616,46.893,,,,,,
157,03/29/19 23:00:00,4.973,51.827,,,,,,
158,03/29/19 23:30:00,4.792,57.603,,,,,,
159,03/30/19 00:00:00,4.194,61.749,,,,,,
160,03/30/19 00:30:00,3.643,65.005,,,,,,
161,03/30/19 01:00:00,2.717,68.3,,,,,,
162,03/30/19 01:30:00,0.715,77.505,,,,,,
163,03/30/19 02:00:00,1.913,72.804,,,,,,
164,03/30/19 02:30:00,2.128,70.749,,,,,,
165,03/30/19 03:00:00,1.208,71.793,,,,,,
166,03/30/19 03:30:00,0.439,74.547,,,,,,
167,03/30/19 04:00:00,1.832,74.193,,,,,,
168,03/30/19 04:30:00,1.913,70.569,,,,,,
169,03/30/19 05:00:00,2.209,63.846,,,,,,
170,03/30/19 05:30:00,2.343,59.604,,,,,,
171,03/30/19 06:00:00,2.047,58.637,,,,,,
172,03/30/19 06:30:00,1.805,58.568,,,,,,
173,03/30/19 07:00:00,1.153,62.079,,,,,,
174,03/30/19 07:30:00,1.48,61.371,,,,,,
175,03/30/19 08:00:00,2.93,55.824,,,,,,
176,03/30/19 08:30:00,4.272,49.968,,,,,,
177,03/30/19 09:00:00,5.179,46.533,,,,,,
178,03/30/19 09:30:00,6.255,44.717,,,,,,
179,03/30/19 10:00:00,7.217,43.049,,,,,,
180,03/30/19 10:30:00,8.344,35.81,,,,,,
181,03/30/19 11:00:00,8.693,35.591,,,,,,
182,03/30/19 11:30:00,9.213,35.292,,,,,,
183,03/30/19 12:00:00,10.026,34.989,,,,,,
184,03/30/19 12:30:00,10.492,33.301,,,,,,
185,03/30/19 13:00:00,10.858,32.303,,,,,,
186,03/30/19 13:30:00,11.516,30.805,,,,,,
187,03/30/19 14:00:00,11.759,29.717,,,,,,
188,03/30/19 14:30:00,12.147,28.834,,,,,,
189,03/30/19 15:00:00,12.316,26.445,,,,,,
190,03/30/19 15:30:00,12.34,26.744,,,,,,
191,03/30/19 16:00:00,12.582,26.763,,,,,,
192,03/30/19 16:30:00,12.437,28.069,,,,,,
193,03/30/19 17:00:00,12.437,25.76,,,,,,
194,03/30/19 17:30:00,12.171,26.533,,,,,,
195,03/30/19 18:00:00,11.832,26.309,,,,,,
196,03/30/19 18:30:00,11.005,29.653,,,,,,
197,03/30/19 19:00:00,9.903,31.311,,,,,,
198,03/30/19 19:30:00,8.469,35.727,,,,,,
199,03/30/19 20:00:00,7.142,39.496,,,,,,
200,03/30/19 20:30:00,6.737,37.131,,,,,,
201,03/30/19 21:00:00,6.458,37.196,,,,,,
202,03/30/19 21:30:00,5.462,39.964,,,,,,
203,03/30/19 22:00:00,5.257,41.706,,,,,,
204,03/30/19 22:30:00,5.539,40.066,,,,,,
205,03/30/19 23:00:00,5.745,39.591,,,,,,
206,03/30/19 23:30:00,5.847,39.228,,,,,,
207,03/31/19 00:00:00,5.565,39.695,,,,,,
208,03/31/19 00:30:00,5.128,40.701,,,,,,
209,03/31/19 01:00:00,5.024,39.697,,,,,,
210,03/31/19 01:30:00,4.714,41.149,,,,,,
211,03/31/19 02:00:00,4.558,40.976,,,,,,
212,03/31/19 02:30:00,4.35,42.061,,,,,,
213,03/31/19 03:00:00,2.557,49.074,,,,,,
214,03/31/19 03:30:00,1.208,54.918,,,,,,
215,03/31/19 04:00:00,0.329,59.356,,,,,,
