Plot Title: B01 Mesa Top,,,,,
RID,Date,Time,Event,Details1,Details2
145,7/27/2013,26:13.5,8067,,
146,7/27/2013,26:34.0,8068,,
147,7/27/2013,26:55.0,8069,,
148,7/27/2013,27:37.5,8070,,
149,7/27/2013,28:02.0,8071,,
150,7/27/2013,28:27.5,8072,,
151,7/27/2013,28:48.0,8073,,
152,7/27/2013,29:12.5,8074,,
153,7/27/2013,29:35.0,8075,,
154,7/27/2013,30:08.5,8076,,
155,7/27/2013,30:52.5,8077,,
156,7/27/2013,31:25.0,8078,,
157,7/27/2013,31:56.0,8079,,
158,7/27/2013,32:40.0,8080,,
159,7/27/2013,33:38.0,8081,,
160,7/27/2013,34:51.5,8082,,
161,7/27/2013,35:19.5,8083,,
162,7/27/2013,36:05.5,8084,,
163,7/27/2013,37:00.5,8085,,
164,7/27/2013,13:50.5,8086,,
165,7/27/2013,17:58.0,8087,,
166,7/27/2013,29:47.0,8088,,
167,8/1/2013,00:27.0,8089,,
168,8/1/2013,19:09.5,8090,,
169,8/5/2013,59:14.5,8091,,
170,8/8/2013,53:01.5,8092,,
171,8/8/2013,56:30.0,8093,,
172,8/8/2013,18:29.5,8094,,
173,8/10/2013,16:00.5,8095,,
174,8/10/2013,32:11.0,8096,,
175,8/17/2013,37:29.0,8097,,
176,8/19/2013,54:38.5,8098,,
177,8/19/2013,55:05.0,8099,,
178,8/19/2013,55:31.5,8100,,
179,8/19/2013,55:55.5,8101,,
180,8/19/2013,56:19.5,8102,,
181,8/19/2013,56:44.0,8103,,
182,8/19/2013,57:10.0,8104,,
183,8/19/2013,57:28.0,8105,,
184,8/19/2013,57:42.5,8106,,
185,8/19/2013,58:09.5,8107,,
186,8/19/2013,58:42.5,8108,,
187,8/19/2013,59:10.0,8109,,
188,8/19/2013,59:23.5,8110,,
189,8/19/2013,59:30.5,8111,,
190,8/19/2013,59:36.5,8112,,
191,8/19/2013,59:41.0,8113,,
192,8/19/2013,59:45.5,8114,,
193,8/19/2013,59:51.0,8115,,
194,8/19/2013,59:56.5,8116,,
195,8/19/2013,00:03.5,8117,,
196,8/19/2013,00:14.5,8118,,
197,8/19/2013,00:27.0,8119,,
198,8/19/2013,00:40.5,8120,,
199,8/19/2013,00:47.0,8121,,
200,8/19/2013,00:52.0,8122,,
201,8/19/2013,00:56.5,8123,,
202,8/19/2013,01:01.5,8124,,
203,8/19/2013,01:07.5,8125,,
204,8/19/2013,01:16.0,8126,,
205,8/19/2013,01:25.0,8127,,
206,8/19/2013,01:37.5,8128,,
207,8/19/2013,01:49.5,8129,,
208,8/19/2013,01:57.0,8130,,
209,8/19/2013,02:05.0,8131,,
210,8/19/2013,02:14.0,8132,,
211,8/19/2013,02:20.5,8133,,
212,8/19/2013,02:31.0,8134,,
213,8/19/2013,02:44.0,8135,,
214,8/19/2013,02:56.0,8136,,
215,8/19/2013,03:11.5,8137,,
216,8/19/2013,03:25.0,8138,,
217,8/19/2013,03:30.0,8139,,
218,8/19/2013,03:36.0,8140,,
219,8/19/2013,03:41.5,8141,,
220,8/19/2013,03:46.0,8142,,
221,8/19/2013,03:53.0,8143,,
222,8/19/2013,04:00.5,8144,,
223,8/19/2013,04:06.0,8145,,
224,8/19/2013,04:11.0,8146,,
225,8/19/2013,04:16.0,8147,,
226,8/19/2013,04:21.0,8148,,
227,8/19/2013,04:26.0,8149,,
228,8/19/2013,04:31.0,8150,,
229,8/19/2013,04:36.0,8151,,
230,8/19/2013,04:42.5,8152,,
231,8/19/2013,04:49.5,8153,,
232,8/19/2013,04:57.0,8154,,
233,8/19/2013,05:01.0,8155,,
234,8/19/2013,05:05.0,8156,,
235,8/19/2013,05:11.5,8157,,
236,8/19/2013,05:17.0,8158,,
237,8/19/2013,05:22.0,8159,,
238,8/19/2013,05:28.5,8160,,
239,8/19/2013,05:38.5,8161,,
240,8/19/2013,05:45.0,8162,,
241,8/19/2013,05:56.0,8163,,
242,8/19/2013,06:06.0,8164,,
243,8/19/2013,06:19.0,8165,,
244,8/19/2013,06:29.0,8166,,
245,8/19/2013,06:42.0,8167,,
246,8/19/2013,06:49.0,8168,,
247,8/19/2013,06:57.5,8169,,
248,8/19/2013,07:07.5,8170,,
249,8/19/2013,07:23.0,8171,,
250,8/19/2013,07:35.0,8172,,
251,8/19/2013,07:54.5,8173,,
252,8/19/2013,08:06.0,8174,,
253,8/19/2013,08:19.0,8175,,
254,8/19/2013,08:46.5,8176,,
255,8/19/2013,08:53.0,8177,,
256,8/19/2013,09:05.0,8178,,
257,8/19/2013,09:22.5,8179,,
258,8/19/2013,09:41.5,8180,,
259,8/19/2013,09:49.0,8181,,
260,8/19/2013,09:55.0,8182,,
261,8/19/2013,10:03.5,8183,,
262,8/19/2013,10:15.5,8184,,
263,8/19/2013,10:26.0,8185,,
264,8/19/2013,10:39.0,8186,,
265,8/19/2013,10:50.5,8187,,
266,8/19/2013,10:59.5,8188,,
267,8/19/2013,11:11.0,8189,,
268,8/19/2013,11:24.5,8190,,
269,8/19/2013,11:31.0,8191,,
270,8/19/2013,11:38.5,8192,,
271,8/19/2013,11:44.5,8193,,
272,8/19/2013,11:54.0,8194,,
273,8/19/2013,12:03.5,8195,,
274,8/19/2013,12:12.0,8196,,
275,8/19/2013,12:22.5,8197,,
276,8/19/2013,12:28.5,8198,,
277,8/19/2013,12:36.0,8199,,
278,8/19/2013,12:42.0,8200,,
279,8/19/2013,12:50.5,8201,,
280,8/19/2013,12:56.5,8202,,
281,8/19/2013,13:06.0,8203,,
282,8/19/2013,13:09.0,8204,,
283,8/19/2013,13:17.5,8205,,
284,8/19/2013,13:38.0,8206,,
285,8/19/2013,13:52.0,8207,,
286,8/19/2013,14:02.5,8208,,
287,8/19/2013,14:14.0,8209,,
288,8/19/2013,14:36.0,8210,,
289,8/19/2013,15:02.0,8211,,
290,8/19/2013,15:24.5,8212,,
291,8/19/2013,15:36.0,8213,,
292,8/19/2013,15:47.0,8214,,
293,8/19/2013,15:57.5,8215,,
294,8/19/2013,16:08.0,8216,,
295,8/19/2013,16:25.5,8217,,
296,8/19/2013,17:09.5,8218,,
297,8/19/2013,19:00.0,8219,,
298,8/19/2013,20:10.0,8220,,
299,8/19/2013,21:06.0,8221,,
300,8/19/2013,21:36.0,8222,,
301,8/19/2013,22:04.5,8223,,
302,8/19/2013,22:35.5,8224,,
303,8/19/2013,23:28.0,8225,,
304,8/19/2013,25:26.0,8226,,
305,8/19/2013,27:07.0,8227,,
306,8/19/2013,27:53.0,8228,,
307,8/19/2013,29:15.0,8229,,
308,8/19/2013,33:49.0,8230,,
309,8/19/2013,24:48.5,8231,,
310,8/21/2013,39:50.0,8232,,
311,8/21/2013,59:51.0,8233,,
312,8/21/2013,25:20.0,8234,,
313,8/23/2013,11:42.0,8235,,
314,8/23/2013,12:23.5,8236,,
315,8/23/2013,12:43.0,8237,,
316,8/23/2013,13:15.0,8238,,
317,8/23/2013,18:17.5,8239,,
318,8/23/2013,55:28.0,8240,,
319,8/23/2013,56:35.0,8241,,
320,8/23/2013,57:45.5,8242,,
321,8/23/2013,58:49.5,8243,,
322,8/23/2013,59:44.0,8244,,
323,8/23/2013,02:09.0,8245,,
324,8/23/2013,00:35.5,8246,,
325,8/23/2013,03:07.0,8247,,
326,8/23/2013,04:17.5,8248,,
327,8/23/2013,05:23.0,8249,,
328,8/23/2013,06:12.0,8250,,
329,8/23/2013,07:34.0,8251,,
330,8/23/2013,09:16.0,8252,,
331,8/23/2013,10:33.5,8253,,
332,8/23/2013,11:55.5,8254,,
333,8/23/2013,13:03.5,8255,,
334,8/23/2013,15:16.0,8256,,
335,8/23/2013,19:32.0,8257,,
336,8/23/2013,26:41.0,8258,,
337,8/24/2013,44:43.0,8259,,
338,8/24/2013,53:51.5,8260,,
339,8/24/2013,01:01.5,8261,,
340,8/24/2013,09:04.0,8262,,
341,8/24/2013,11:17.5,8263,,
342,8/24/2013,15:04.5,8264,,
343,8/24/2013,19:27.0,8265,,
344,8/24/2013,24:30.5,8266,,
345,8/24/2013,36:27.5,8267,,
346,8/25/2013,03:25.5,8268,,
347,8/25/2013,15:00.0,8269,,
348,8/25/2013,08:41.5,8270,,
349,8/25/2013,15:43.5,8271,,
350,8/25/2013,19:12.0,8272,,
351,8/25/2013,22:45.5,8273,,
352,8/25/2013,24:55.5,8274,,
353,8/25/2013,27:33.5,8275,,
354,8/25/2013,29:39.0,8276,,
355,8/25/2013,43:15.5,8277,,
356,8/25/2013,02:22.5,8278,,
357,8/25/2013,14:56.0,8279,,
358,8/25/2013,19:48.5,8280,,
359,8/25/2013,23:59.0,8281,,
360,8/25/2013,27:19.0,8282,,
361,8/25/2013,30:15.0,8283,,
362,8/25/2013,32:18.0,8284,,
363,8/25/2013,35:07.5,8285,,
364,8/25/2013,36:36.5,8286,,
365,8/25/2013,37:42.5,8287,,
366,8/25/2013,38:45.0,8288,,
367,8/25/2013,40:03.5,8289,,
368,8/25/2013,41:54.0,8290,,
369,8/25/2013,43:19.5,8291,,
370,8/25/2013,45:37.5,8292,,
371,8/25/2013,47:19.5,8293,,
372,8/25/2013,52:11.5,8294,,
373,8/25/2013,57:58.0,8295,,
374,8/25/2013,02:35.0,8296,,
375,8/25/2013,09:49.5,8297,,
376,8/25/2013,19:34.0,8298,,
377,8/25/2013,42:40.0,8299,,
378,8/25/2013,56:31.5,8300,,
379,8/25/2013,57:51.0,8301,,
380,8/25/2013,59:00.0,8302,,
